iter	Passed	Remaining
0	1	134
1	3	158
2	4	148
3	5	127
4	6	123
5	7	119
6	9	120
7	10	118
8	11	118
9	12	115
10	13	112
11	15	111
12	16	108
13	17	108
14	18	106
15	19	104
16	20	102
17	21	99
18	22	97
19	23	95
20	24	93
21	26	92
22	27	90
23	28	89
24	29	87
25	30	86
26	31	85
27	32	84
28	34	83
29	35	82
30	36	81
31	37	80
32	38	79
33	40	78
34	41	76
35	42	75
36	43	74
37	44	73
38	47	73
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	55	64
46	56	63
47	57	61
48	58	60
49	59	59
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	69	48
59	70	46
60	71	45
61	72	44
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	90	25
78	92	24
79	93	23
80	94	22
81	95	21
82	97	19
83	97	18
84	98	17
85	99	16
86	100	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
